Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.04,4.90214,0.790902,8.38109,0.0173478,-0.017242,0.165075,0.321101,9.54128,0.392711,-0.00388897,-0.202398,-0.0775046,-0.0397177,-9.86757,-1.04087,-0.0533967,0.263095,0.0881648,9.37867,-0.847531,2.83258,0.0048542,-0.00655892,-0.0372522,5.28066,0.902107,8.21881,-0.25901,0.0869046,0.151232,1.0415,-9.42294,-2.1973,-0.197283,0.822765,0.292079,-1.34815,9.23356,-1.53774,0.0808994,0.334909,-0.184447
0.041,4.90216,0.746945,8.37632,0.0158546,-0.0211129,0.166246,0.332666,9.55792,0.362754,-0.00460481,-0.201041,-0.0811281,-0.0301004,-9.93733,-1.02583,-0.0508161,0.26914,0.0902651,9.37925,-0.876283,2.81856,0.00626938,-0.00200426,-0.038898,5.30455,0.823907,8.20059,-0.264604,0.089201,0.156177,0.99013,-9.40643,-2.18965,-0.207239,0.835937,0.288249,-1.32477,9.22905,-1.55218,0.0750426,0.318132,-0.175617
0.042,4.90218,0.702987,8.37154,0.0143614,-0.0249837,0.167417,0.34423,9.57455,0.332797,-0.00532065,-0.199684,-0.0847517,-0.0204832,-10.0071,-1.01078,-0.0482354,0.275185,0.0923653,9.37983,-0.905035,2.80455,0.00768457,0.00255041,-0.0405438,5.32843,0.745707,8.18236,-0.270198,0.0914975,0.161121,0.938757,-9.38991,-2.182,-0.217195,0.84911,0.284419,-1.3014,9.22455,-1.56662,0.0691858,0.301355,-0.166786
0.043,4.9022,0.65903,8.36677,0.0128682,-0.0288546,0.168588,0.355795,9.59119,0.30284,-0.00603649,-0.198327,-0.0883752,-0.010866,-10.0769,-0.995741,-0.0456547,0.28123,0.0944656,9.38041,-0.933787,2.79054,0.00909975,0.00710507,-0.0421896,5.35232,0.667507,8.16414,-0.275792,0.0937939,0.166066,0.887384,-9.37339,-2.17434,-0.227151,0.862283,0.280589,-1.27802,9.22004,-1.58105,0.063329,0.284578,-0.157956
0.044,4.90222,0.615073,8.36199,0.011375,-0.0327255,0.169759,0.36736,9.60782,0.272884,-0.00675233,-0.19697,-0.0919988,-0.00124882,-10.1466,-0.980699,-0.0430741,0.287274,0.0965659,9.38099,-0.962539,2.77652,0.0105149,0.0116597,-0.0438354,5.3762,0.589307,8.14592,-0.281386,0.0960903,0.171011,0.836011,-9.35688,-2.16669,-0.237107,0.875455,0.276759,-1.25465,9.21553,-1.59549,0.0574722,0.267802,-0.149126
0.045,4.90597,0.582561,8.3659,0.0116808,-0.0360881,0.17223,0.3938,9.61061,0.251061,-0.0076073,-0.195516,-0.0953556,0.00897695,-10.1629,-0.933162,-0.0411337,0.291575,0.0968802,9.38705,-0.970493,2.78411,0.010353,0.0152227,-0.0451739,5.39369,0.524934,8.14475,-0.285012,0.0988632,0.173881,0.765681,-9.36113,-2.17147,-0.244996,0.885609,0.272649,-1.23942,9.222,-1.62091,0.0515259,0.250873,-0.140879
0.046,4.9127,0.559207,8.37675,0.0134257,-0.0390441,0.17574,0.432141,9.60231,0.235746,-0.00857358,-0.193985,-0.0984991,0.0196896,-10.1363,-0.859631,-0.0397057,0.29448,0.0957658,9.39749,-0.961808,2.80898,0.00892945,0.0179922,-0.0462665,5.40605,0.471621,8.15722,-0.287062,0.102017,0.175093,0.680186,-9.38199,-2.1862,-0.251232,0.893348,0.268316,-1.23073,9.23724,-1.65513,0.0455079,0.233824,-0.133099
0.047,4.91943,0.535853,8.3876,0.0151707,-0.0420001,0.17925,0.470481,9.59402,0.220431,-0.00953987,-0.192454,-0.101643,0.0304022,-10.1097,-0.7861,-0.0382776,0.297385,0.0946513,9.40794,-0.953123,2.83385,0.00750586,0.0207617,-0.0473592,5.41842,0.418309,8.16969,-0.289112,0.105171,0.176305,0.594692,-9.40285,-2.20093,-0.257469,0.901086,0.263982,-1.22203,9.25249,-1.68935,0.03949,0.216774,-0.125319
0.048,4.92616,0.512499,8.39845,0.0169157,-0.0449561,0.18276,0.508822,9.58572,0.205115,-0.0105061,-0.190923,-0.104786,0.0411148,-10.0832,-0.712569,-0.0368495,0.30029,0.0935368,9.41839,-0.944438,2.85872,0.00608228,0.0235313,-0.0484518,5.43078,0.364997,8.18216,-0.291162,0.108326,0.177516,0.509197,-9.42371,-2.21566,-0.263705,0.908824,0.259649,-1.21333,9.26773,-1.72357,0.033472,0.199724,-0.117539
0.049,4.9341,0.487354,8.40804,0.0185272,-0.0477637,0.185905,0.542147,9.57657,0.19005,-0.0113464,-0.189671,-0.10819,0.0539896,-10.0601,-0.644645,-0.0356302,0.302702,0.0925314,9.42691,-0.938557,2.87883,0.00465695,0.0263289,-0.0497989,5.44066,0.311137,8.19592,-0.292882,0.111253,0.17881,0.42709,-9.44569,-2.23026,-0.269594,0.915809,0.255292,-1.2021,9.27893,-1.75985,0.0274747,0.182924,-0.109917
