Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.096,0.04763,0.027616,0.0481732,0.0795578,0.0532657,0.0618485,0.0512473,0.0648276,0.0638254,0.09616,0.0474689,0.0432529,0.0368048,0.0639597,0.063656,0.0505261
0.097,0.0607526,0.00930542,0.03383,0.0755905,0.0425845,0.0615433,0.036904,0.0361411,0.0677927,0.0525198,0.05815,0.0463046,0.0395514,0.0596872,0.0441248,0.0651746
0.098,0.0549542,-0.0593591,0.0722821,0.0554489,0.00474274,0.0584915,0.0521628,0.0733725,0.0748117,0.0125418,0.0639484,0.057291,0.0865485,0.0651804,0.0578577,0.0502209
0.099,0.0696027,-0.0755334,0.0561078,0.024321,-0.0141782,0.0560501,0.0448386,0.0571982,0.0754221,0.00247101,0.0392291,0.031351,0.117371,0.0676218,0.0621301,0.0596814
0.1,0.0723492,-0.0404382,0.0454266,0.0111984,0.0196964,0.0633743,0.0448386,0.0715414,0.0583322,0.0174246,0.0483844,0.0383701,0.116456,0.0569406,0.0572473,0.0779919
0.101,0.0488507,0.00106567,0.0524457,0.0575851,0.0685245,0.0505569,0.0744406,0.0657431,0.0650461,0.0256644,0.0575397,0.0475253,0.0911261,0.0740305,0.0587732,0.0679211
0.102,0.0577008,0.0453162,0.0649579,0.0563644,0.123456,0.0597122,0.0454489,0.0785605,0.0604684,0.115386,0.0676105,0.0322665,0.0487067,0.0721994,0.0606042,0.0480847
0.103,0.0549542,0.072782,0.0472577,0.0774216,0.110944,0.0719192,0.0515524,0.0608603,0.043989,0.0955496,0.0465533,0.0456943,0.0740363,0.0590768,0.0691492,0.0596814
0.104,0.0503766,0.117643,0.0829633,0.0752853,0.11308,0.0356033,0.0417868,0.0651328,0.0565012,0.0738821,0.0532672,0.0496616,0.0761725,0.0685373,0.074032,0.0499158
0.105,0.0586163,0.125577,0.0417645,0.0566696,0.0755435,0.0578812,0.0607077,0.0535361,0.0674875,0.111419,0.0731036,0.0444736,0.0593878,0.0578561,0.0590784,0.0526624
0.106,0.059837,0.0608801,0.0783856,0.059111,-0.00837982,0.0566605,0.0329367,0.0614706,0.0757272,0.0711356,0.056319,0.0508823,0.0313116,0.0606027,0.046261,0.0618176
0.107,0.0656354,0.0495886,0.0439008,0.0633835,0.036481,0.0392654,0.0485007,0.0681845,0.0644357,0.0668631,0.073714,0.0429477,0.0410773,0.069758,0.0685388,0.0633435
0.108,0.0662457,0.0730872,0.0225385,0.0783371,0.0602847,0.0676468,0.04728,0.0538412,0.0775583,0.0390921,0.0709674,0.053934,0.0273444,0.0633493,0.0499231,0.0663953
0.109,0.0622784,0.115812,0.0149091,0.0646042,0.0169498,0.0621536,0.0549094,0.0761191,0.0641306,0.00277618,0.0648639,0.048746,0.0206305,0.0474802,0.0483972,0.0517468
0.11,0.0613629,0.0932288,0.0350507,0.053923,0.0123721,0.0478104,0.0411765,0.0538412,0.0641306,0.115996,0.0706622,0.0563754,0.0749518,0.0529733,0.0657922,0.0538831
0.111,0.0561749,0.0199866,0.0628217,0.0557541,0.0340396,0.0502518,0.0588766,0.0651328,0.0595529,0.120879,0.0654742,0.059122,0.0889899,0.062739,0.0419885,0.0544934
0.112,0.0845563,0.00411743,0.0496991,0.0612473,0.0486881,0.07314,0.0582663,0.0687949,0.0534494,0.121184,0.0767657,0.0710239,0.064881,0.0487009,0.0282556,0.0547986
0.113,0.0766217,-0.00168091,0.0594647,0.048735,0.0361758,0.0472,0.0469748,0.0834433,0.051008,0.0577078,0.0422809,0.0481357,0.0300909,0.062739,0.0505334,0.064259
0.114,0.0641095,0.024259,0.0414594,0.0319504,0.0676089,0.0557449,0.0564352,0.0712363,0.0507028,0.0299368,0.0550983,0.0545444,0.108216,0.0535837,0.0554163,0.0743298
0.115,0.0616681,0.0395178,0.0600751,0.0459885,0.0651675,0.0642899,0.0530783,0.0626913,0.0650461,0.00430206,0.0438068,0.0554599,0.13324,0.0416818,0.0453455,0.0551038
0.116,0.0815045,0.0483679,0.0451215,0.0630783,0.0596744,0.0658157,0.0509421,0.0669638,0.0513132,0.0656424,0.0474689,0.0597324,-0.025451,0.0526682,0.0450403,0.0563245
0.117,0.0485455,0.0373816,0.0588544,0.105498,0.0511295,0.0526932,0.052468,0.0584189,0.0568063,0.0668631,0.0569293,0.0716342,-0.0556635,0.049006,0.0425989,0.0633435
0.118,0.0454938,0.0187659,0.053056,0.124724,0.053876,0.0566605,0.0393454,0.0733725,0.0629098,0.0174246,0.0636432,0.085062,0.00933899,0.06457,0.0435144,0.0538831
0.119,0.0491559,-0.00625854,0.073808,0.0823044,0.0700504,0.0563553,0.0839011,0.0626913,0.0742014,-0.0191965,0.0602863,0.053934,0.105775,0.0483957,0.0160486,0.0648694
0.12,0.0515973,0.046842,0.0255902,0.0533127,0.0587589,0.0398758,0.0585715,0.0471274,0.0464304,-0.0011911,0.0499103,0.0597324,0.0920416,0.0554147,0.0242883,0.0474744
0.121,0.0622784,0.100248,0.0432904,0.0566696,0.0550967,0.0554398,0.0521628,0.0709311,0.0522287,0.0387869,0.0489947,0.0527133,0.0325323,0.0499216,0.0245935,0.0428967
0.122,0.0595319,0.0712561,0.0753339,0.0655197,0.0602847,0.0661209,0.0579611,0.0727621,0.0500925,0.153838,0.0636432,0.0548496,0.0508429,0.047175,0.0569421,0.0789075
0.123,0.0744855,0.0416541,0.0728925,0.0563644,0.074628,0.0548294,0.0512473,0.0629965,0.0418527,0.214568,0.0721881,0.0691928,0.0673224,0.0432077,0.0328333,0.0651746
0.124,0.063194,0.0297522,0.0612958,0.0450729,0.0547916,0.0548294,0.0607077,0.0645224,0.0793893,0.0970755,0.0642535,0.0545444,0.121949,0.0596872,0.051449,0.0621228
0.125,0.0494611,0.0602698,0.0850995,0.0453781,0.0618106,0.0621536,0.0695578,0.0614706,0.0552805,0.0119315,0.0612018,0.0594272,0.109437,0.0520578,0.0429041,0.0663953
0.126,0.0381696,0.0599646,0.0850995,0.0569748,0.0654727,0.0615433,0.0536887,0.0538412,0.0656564,-0.0567331,0.0624225,0.0478305,0.111878,0.0474802,0.0395471,0.0691418
0.127,0.0613629,0.00503296,0.0558026,0.0676559,0.0560123,0.0581863,0.0433127,0.0654379,0.0525339,0.018035,0.0764606,0.0450839,0.0950934,0.054194,0.0545007,0.0712781
0.128,0.063194,0.0532507,0.0484784,0.0777267,0.0459415,0.0664261,0.0478903,0.0611655,0.0903757,0.123321,0.05815,0.06431,0.0374152,0.0602975,0.041073,0.0496106
0.129,0.0659406,0.05203,0.0658734,0.081694,0.0575381,0.0526932,0.0488058,0.051705,0.0549753,0.0839529,0.0438068,0.0688876,-0.0281976,0.0435129,0.0456506,0.0636487
0.13,0.0427472,0.0578284,0.0658734,0.0993942,0.0666934,0.0603226,0.0430075,0.0596396,0.0516183,0.0601492,0.0383136,0.0670566,-0.0312494,0.0520578,0.0438196,0.059071
0.131,0.065025,0.055387,0.0484784,0.0636887,0.0929385,0.0487259,0.0365988,0.0456015,0.063215,0.0525198,0.0508258,0.0725497,0.004151,0.0709787,0.0526697,0.0593762
0.132,0.0308453,0.0608801,0.0762494,0.0340866,0.0612003,0.0612381,0.0573508,0.0367514,0.0745065,0.0763235,0.0560138,0.0630893,0.049317,0.0505319,0.0575525,0.0593762
0.133,0.08242,0.107267,0.0948651,0.0612473,0.0605899,0.064595,0.087258,0.0608603,0.0574167,0.03543,0.0453326,0.0551547,0.0697638,0.0670114,0.0361902,0.0663953
0.134,0.0470197,0.110319,0.0655682,0.0569748,0.0233585,0.0569656,0.0619284,0.051705,0.0540598,0.0241385,0.0572345,0.0847568,0.0587775,0.0404611,0.0508386,0.0551038
0.135,0.0677716,0.0514197,0.113786,0.0542282,0.036481,0.0722244,0.0503317,0.0434653,0.0677927,0.0503836,0.0727985,0.0685825,0.0737311,0.0532785,0.0352747,0.0627332
0.136,0.0811993,0.0868201,0.0970013,0.0655197,0.0129825,0.0642899,0.0393454,0.0559775,0.0592477,0.0357352,0.0834796,0.0667514,0.0981451,0.0764719,0.0422937,0.0721936
0.137,0.0570905,0.105741,0.124772,0.074675,-0.000140076,0.0551346,0.0625388,0.0538412,0.0598581,0.0427542,0.0895831,0.0536288,0.0975348,0.0569406,0.056637,0.0605969
0.138,0.0396954,0.111234,0.122331,0.0615524,0.00413239,0.0472,0.0784079,0.0526205,0.0644357,0.0241385,0.0825641,0.071329,0.0801398,0.0532785,0.0459558,0.0862317
0.139,0.0583112,0.0822424,0.0890668,0.0609421,-0.00136078,0.0591019,0.0637595,0.0541464,0.0531442,0.0921927,0.0706622,0.0560703,0.0670172,0.0694528,0.0560266,0.0651746
0.14,0.0561749,-0.00595337,0.0255902,0.0502609,0.0947696,0.0569656,0.0677267,0.0623862,0.0500925,0.13034,0.0236652,0.0286044,0.061524,0.0606027,0.0718957,0.0627332
0.141,0.0549542,-0.0270105,0.0341351,0.0819992,0.106977,0.0719192,0.0625388,0.055062,0.0711496,0.138579,0.0743243,0.0542392,0.0780035,0.0493112,0.0697595,0.0718884
0.142,0.0604474,0.0315833,0.0115521,0.090239,0.0703555,0.0914505,0.0692526,0.0501791,0.0571115,0.0558768,0.0779864,0.0646152,0.0651862,0.06457,0.0639612,0.0630383
0.143,0.0451886,0.0996374,0.0280316,0.0853561,0.062421,0.0630691,0.0585715,0.0468222,0.0775583,-0.0787058,0.0724933,0.0530185,0.103028,0.0599924,0.0621301,0.0438123
0.144,0.0717389,0.123441,0.0289471,0.0841354,0.0428897,0.0429276,0.08207,0.0324789,0.0674875,-0.00576874,0.0547931,0.0478305,0.0676276,0.0691476,0.0633508,0.0605969
0.145,0.063194,0.131376,0.0545819,0.0475143,0.0581485,0.0673416,0.0796286,0.0440756,0.0381906,0.0155936,0.0505206,0.0887241,0.0590826,0.0728098,0.0657922,0.0752454
