Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.088,0.0766217,0.0477576,0.0466473,0.0475143,0.0425845,0.0444534,0.0228659,0.051705,0.0586374,0.07022,0.0804279,0.0475253,0.059693,0.0590768,0.035885,0.0651746
0.089,0.0915753,0.079801,0.0496991,0.0423264,0.0654727,0.0472,0.0582663,0.0678793,0.0513132,0.0613699,0.0557086,0.0429477,0.0557257,0.0596872,0.0612146,0.0602917
0.09,0.0634991,0.113065,0.0472577,0.062468,0.0392276,0.0652054,0.0564352,0.0532309,0.0449045,0.0360403,0.0666949,0.0420322,0.0804449,0.0453439,0.063656,0.0612073
0.091,0.0717389,0.0697302,0.0536664,0.0447678,0.052045,0.0682571,0.0436179,0.0800864,0.0619943,0.0439749,0.0541827,0.0389804,0.0340582,0.0581613,0.0587732,0.0465588
0.092,0.0610577,0.0685095,0.0619061,0.0502609,0.0755435,0.0465897,0.0402609,0.0584189,0.043989,0.0555716,0.063338,0.0414218,0.0484015,0.0606027,0.0419885,0.0511365
0.093,0.0696027,0.0770544,0.0445111,0.0499557,0.0489932,0.0682571,0.0268332,0.0504843,0.04582,0.0500784,0.0679156,0.0279941,0.0499274,0.0529733,0.0700647,0.062428
0.094,0.0412213,0.0709509,0.0637372,0.0569748,0.0554019,0.0572708,0.0518576,0.0556723,0.0650461,0.0467215,0.0654742,0.0163974,0.0709845,0.0578561,0.0587732,0.0605969
0.095,0.0421368,0.0578284,0.0481732,0.0542282,0.0523502,0.0740555,0.0436179,0.0596396,0.0479562,0.0705252,0.0648639,0.0304355,0.0487067,0.0529733,0.0682336,0.0547986
0.096,0.058006,0.0584387,0.0558026,0.0743698,0.0612003,0.0563553,0.0561301,0.0633017,0.0708444,0.0589285,0.0596759,0.0405063,0.0462653,0.0535837,0.0535852,0.0605969
0.097,0.0641095,0.0657629,0.0658734,0.0548386,0.0639468,0.0606277,0.0485007,0.0648276,0.0409372,0.0851736,0.0743243,0.0756015,0.0487067,0.0441232,0.0630457,0.0459485
0.098,0.0564801,0.0700354,0.0780804,0.0710129,0.0569278,0.102132,0.0512473,0.0541464,0.0714548,0.0851736,0.0575397,0.0725497,0.0624396,0.0453439,0.0502283,0.0392346
0.099,0.0338971,0.0526404,0.0509198,0.0447678,0.0514346,0.0533035,0.0448386,0.046517,0.0699289,0.0567923,0.056319,0.0893344,0.0502325,0.0651804,0.0535852,0.0557141
0.1,0.0558698,0.0447058,0.0597699,0.0670456,0.0459415,0.0557449,0.0396506,0.0507895,0.0699289,0.073577,0.0651691,0.0661411,0.0532843,0.0389352,0.0548059,0.034657
0.101,0.0421368,0.062406,0.0606854,0.0737595,0.0645572,0.0618485,0.0622336,0.056893,0.103193,0.0738821,0.0526569,0.0432529,0.0255133,0.0548044,0.0517542,0.0358777
0.102,0.0589215,0.0666785,0.0500043,0.0676559,0.0386172,0.0557449,0.0417868,0.0617758,0.0687082,0.0854788,0.0648639,0.0585117,0.0621344,0.0563303,0.056637,0.0551038
0.103,0.0540387,0.0321936,0.0527509,0.0932907,0.0529605,0.0572708,0.0375143,0.0474326,0.0421579,0.0720511,0.0792072,0.0698032,0.0694586,0.0355783,0.0474817,0.0734143
0.104,0.0500714,-0.00869995,0.0603803,0.0704025,0.0431949,0.0639847,0.0512473,0.062081,0.0583322,0.0693045,0.0505206,0.0536288,0.0514532,0.0578561,0.0602991,0.0691418
0.105,0.0653302,-0.0187708,0.0396283,0.0429367,0.062421,0.0862625,0.0610129,0.063912,0.066572,0.0616751,0.0624225,0.0505771,0.0383307,0.0563303,0.0664026,0.0618176
0.106,0.0482404,0.00533813,0.0643475,0.0444626,0.059064,0.0615433,0.054299,0.0669638,0.068403,0.0818167,0.0660846,0.0594272,0.0502325,0.0590768,0.0233728,0.0651746
0.107,0.0613629,0.00869507,0.0524457,0.0420212,0.0566226,0.0291946,0.0485007,0.077645,0.0583322,0.0751028,0.0758502,0.0606479,0.0639655,0.0355783,0.0667078,0.0493054
0.108,0.0692975,0.0318884,0.063432,0.0734543,0.0535709,0.0569656,0.0423972,0.0324789,0.0412424,0.0784598,0.0630328,0.0499667,0.0511481,0.0688425,0.0654871,0.0758557
0.109,0.059837,0.0364661,0.0551923,0.0426315,0.0486881,0.0459793,0.0512473,0.0745932,0.0745065,0.0741873,0.0670001,0.052103,0.054505,0.0660959,0.0700647,0.0627332
0.11,0.0589215,0.0456213,0.0524457,0.0548386,0.0575381,0.067952,0.0570456,0.0556723,0.0906808,0.0567923,0.051131,0.0484409,0.0502325,0.0554147,0.0529749,0.110341
0.111,0.0686871,0.113981,0.0558026,0.0646042,0.0523502,0.0764969,0.0573508,0.0633017,0.0766428,0.0207816,0.0605914,0.0612582,0.0572516,0.052363,0.05328,0.0578503
0.112,0.0641095,0.0907874,0.0554974,0.0465988,0.0563174,0.0740555,0.0384299,0.0477377,0.043989,0.018035,0.0621173,0.0392856,0.0599982,0.057551,0.0630457,0.0401501
0.113,0.054649,0.0917029,0.061601,0.0649094,0.0535709,0.0539139,0.0414816,0.0456015,0.0598581,-0.00912567,0.0612018,0.0289096,0.0587775,0.0578561,0.0474817,0.0776868
0.114,0.0589215,0.0944495,0.0619061,0.0691818,0.0575381,0.0563553,0.0512473,0.0575034,0.056196,-0.00180145,0.0612018,0.0340976,0.0514532,0.0444284,0.0587732,0.0657849
0.115,0.0610577,0.0559973,0.0381024,0.0725388,0.0514346,0.0743607,0.0610129,0.0608603,0.056196,0.047637,0.0624225,0.0496616,0.070069,0.0407663,0.0920373,0.0612073
0.116,0.0674664,0.0657629,0.0591595,0.0881027,0.0148135,0.0694778,0.054299,0.055062,0.0699289,0.0732718,0.0621173,0.0795688,0.0661017,0.0465646,0.0557214,0.0612073
0.117,0.0641095,0.0691199,0.0637372,0.0856613,0.0633365,0.059407,0.0497214,0.0459067,0.0543649,0.0781546,0.0618121,0.0609531,0.0731207,0.0389352,0.0648767,0.0700574
0.118,0.0653302,0.0614905,0.047868,0.0792526,0.0618106,0.0542191,0.0268332,0.0379721,0.0372751,0.0830374,0.0694415,0.0621738,0.0566412,0.0621286,0.046261,0.0856213
0.119,0.0512921,0.0395178,0.0484784,0.0340866,0.0602847,0.0630691,0.0469748,0.0745932,0.0503976,0.0662527,0.0535724,0.0612582,0.0438239,0.0441232,0.0477869,0.0596814
0.12,0.0564801,0.00838989,0.0445111,0.0185226,0.0703555,0.0777176,0.0561301,0.046517,0.0500925,0.0351248,0.0630328,0.057291,0.0590826,0.0636545,0.0529749,0.0895886
0.121,0.0427472,0.0688147,0.051225,0.024321,0.0535709,0.0673416,0.0793234,0.0596396,0.0497873,0.0470267,0.0605914,0.0722446,0.0426032,0.0563303,0.0456506,0.0563245
0.122,0.0543439,0.0611853,0.0713666,0.041716,0.0486881,0.0649002,0.0539938,0.0611655,0.0568063,0.0284109,0.0541827,0.0530185,0.0471808,0.0551096,0.0673181,0.0584607
0.123,0.0769269,0.0669836,0.0594647,0.0679611,0.0544864,0.0191238,0.0576559,0.0364462,0.0629098,0.0415335,0.0550983,0.0420322,0.0560309,0.0572458,0.0483972,0.0609021
0.124,0.059837,0.083158,0.0445111,0.0505661,0.0599796,0.0667313,0.0762717,0.0428549,0.0616891,0.0427542,0.0514362,0.06431,0.0264288,0.0514474,0.0496179,0.0673108
0.125,0.0491559,0.0559973,0.0539716,0.0490402,0.0612003,0.0649002,0.0530783,0.0547568,0.08061,0.0311575,0.0703571,0.0636996,0.0651862,0.0670114,0.0395471,0.0718884
0.126,0.059837,0.057218,0.0597699,0.0499557,0.0502139,0.0597122,0.0399558,0.0449912,0.0522287,0.0165091,0.0489947,0.0756015,0.0599982,0.074946,0.0529749,0.0605969
0.127,0.0592267,0.0459265,0.0509198,0.0646042,0.0383121,0.062764,0.0549094,0.0608603,0.0528391,0.00338654,0.0474689,0.0405063,0.0612189,0.06457,0.0615198,0.0834851
0.128,0.0549542,0.0431799,0.0701459,0.0581955,0.0596744,0.0520828,0.0530783,0.0675742,0.063215,0.00979523,0.0621173,0.0603427,0.0471808,0.0404611,0.0575525,0.0786023
0.129,0.0509869,0.0410437,0.0695355,0.0636887,0.0669986,0.0658157,0.0579611,0.0501791,0.0571115,0.0415335,0.0450275,0.0328769,0.0416876,0.0438181,0.0444299,0.0407605
0.13,0.0488507,0.0663733,0.0487836,0.0600265,0.0566226,0.0514725,0.0118796,0.0474326,0.0424631,0.0546561,0.0590656,0.0237216,0.052674,0.0358835,0.0615198,0.0511365
0.131,0.0488507,0.0709509,0.0646527,0.0527023,0.0569278,0.0536087,0.059487,0.0520102,0.0369699,0.0296317,0.0450275,0.0429477,0.066712,0.0514474,0.0511438,0.0529675
0.132,0.0421368,0.0770544,0.0573285,0.0627731,0.0380069,0.0557449,0.0475851,0.0657431,0.0635202,0.0604544,0.0660846,0.0505771,0.0401617,0.0544992,0.0569421,0.0825696
