Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.125,0.042442,0.0614905,0.0414594,0.069487,0.0535709,-0.00162811,0.0378195,0.109688,0.0601633,0.0763235,0.0267169,0.0536288,0.0654913,0.0670114,0.0581628,0.0383191
0.126,0.0558698,0.0617957,0.0622113,0.062468,0.0489932,0.024617,0.0710837,0.0913779,0.0751169,0.0686942,0.08409,0.0636996,0.0654913,0.0432077,0.0779993,0.0377087
0.127,0.0628888,0.0630164,0.0793011,0.069487,0.0389224,0.0533035,0.059487,0.110299,0.0571115,0.0760184,0.0492999,0.0475253,0.0593878,0.059382,0.061825,0.0602917
0.128,0.0622784,0.0712561,0.056413,0.0438522,0.0563174,0.0652054,0.0808493,0.100838,0.0293405,0.0537405,0.0825641,0.0633945,0.0712897,0.0804392,0.0575525,0.039845
0.129,0.063194,0.0880408,0.0753339,0.059111,0.046857,0.0798538,0.075051,0.10389,0.0488718,0.0442801,0.0596759,0.0490512,0.0706793,0.0746408,0.0493127,0.0499158
0.13,0.0555646,0.0859045,0.0707562,0.0887131,0.0587589,0.106709,0.0829855,0.091683,0.0403268,0.0546561,0.0654742,0.0731601,0.0715948,0.0877634,0.0755579,0.0490002
0.131,0.0500714,0.0453162,0.0649579,0.0639938,0.057233,0.132649,0.0677267,0.0925986,0.0772531,0.0647269,0.0590656,0.0652255,0.0398566,0.087153,0.0578577,0.0374036
0.132,0.070213,0.0447058,0.0637372,0.0389694,0.036481,0.126546,0.0365988,0.091683,0.0494821,0.0534354,0.063338,0.0582065,0.054505,0.105464,0.0633508,0.041676
0.133,0.0668561,0.0996374,0.0844891,0.0505661,0.0593692,0.120137,0.0256125,0.0962607,0.0824411,0.0574026,0.063338,0.086893,0.0639655,0.0673166,0.0779993,0.0361829
0.134,0.063194,0.07797,0.0475629,0.0581955,0.0514346,0.0990799,0.0231711,0.108468,0.0507028,0.0448904,0.0398395,0.0997104,0.0703741,0.0883737,0.0725061,0.052052
