Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.041,-2.554,9.85888,-0.076458,0.0386117,0.851875,-0.169783,-0.468233,10.0534,-0.330049,0.274302,0.369179,-0.269942,5.35094,-7.84719,1.69519,-0.00797248,-0.496973,-0.672302,3.28119,1.72815,10.3546,-0.284575,-0.239481,0.114233,1.11128,-10.4912,0.0397155,0.181186,0.274584,1.22155,3.47078,-2.61004,8.55664,-0.0252965,-0.0587837,0.0435849,3.47078,-2.61004,8.55664,-0.0252965,-0.0587837,0.0435849
0.042,-2.59975,9.86239,-0.113834,0.0296954,0.827566,-0.169167,-0.435924,10.0274,-0.367497,0.277527,0.374331,-0.270824,5.27179,-7.89095,1.6882,0.00225007,-0.487308,-0.678068,3.28102,1.7164,10.3711,-0.278705,-0.241851,0.118767,1.09601,-10.5295,0.0347863,0.173444,0.271267,1.23372,3.52693,-2.62106,8.621,-0.0348101,-0.0612114,0.0507625,3.52693,-2.62106,8.621,-0.0348101,-0.0612114,0.0507625
0.043,-2.64551,9.8659,-0.151209,0.0207791,0.803256,-0.16855,-0.403615,10.0015,-0.404944,0.280752,0.379484,-0.271707,5.19265,-7.93472,1.68121,0.0124726,-0.477642,-0.683835,3.28085,1.70464,10.3875,-0.272835,-0.244221,0.123301,1.08074,-10.5678,0.0298572,0.165702,0.267949,1.24589,3.58309,-2.63208,8.68535,-0.0443237,-0.0636392,0.0579401,3.58309,-2.63208,8.68535,-0.0443237,-0.0636392,0.0579401
0.044,-2.69126,9.86941,-0.188585,0.0118629,0.778947,-0.167933,-0.371305,9.97558,-0.442392,0.283977,0.384636,-0.272589,5.11351,-7.97848,1.67422,0.0226952,-0.467977,-0.689601,3.28068,1.69289,10.404,-0.266965,-0.246591,0.127835,1.06548,-10.6061,0.024928,0.157961,0.264631,1.25807,3.63925,-2.64309,8.74971,-0.0538372,-0.0660669,0.0651178,3.63925,-2.64309,8.74971,-0.0538372,-0.0660669,0.0651178
0.045,-2.703,9.88122,-0.199277,0.00277107,0.754431,-0.166685,-0.360828,9.95329,-0.4599,0.288171,0.389324,-0.272464,5.03167,-8.04073,1.65872,0.0343448,-0.454745,-0.695296,3.27257,1.70464,10.4093,-0.263238,-0.250169,0.1362,1.05796,-10.68,0.00422311,0.150284,0.26173,1.26863,3.7434,-2.64672,8.7782,-0.0618199,-0.0640144,0.0699586,3.7434,-2.64672,8.7782,-0.0618199,-0.0640144,0.0699586
0.046,-2.68754,9.89967,-0.188621,-0.00646114,0.729751,-0.164932,-0.367815,9.9339,-0.461456,0.293141,0.393638,-0.271532,4.94769,-8.11778,1.63642,0.047136,-0.438659,-0.700933,3.25812,1.73518,10.4056,-0.261225,-0.254712,0.147631,1.05663,-10.7824,-0.0291024,0.142658,0.259161,1.2779,3.88594,-2.64443,8.77799,-0.0685777,-0.0583778,0.07293,3.88594,-2.64443,8.77799,-0.0685777,-0.0583778,0.07293
0.047,-2.67207,9.91812,-0.177965,-0.0156933,0.70507,-0.16318,-0.374802,9.91451,-0.463011,0.298111,0.397953,-0.2706,4.86371,-8.19482,1.61412,0.0599273,-0.422574,-0.70657,3.24367,1.76572,10.4019,-0.259213,-0.259255,0.159062,1.0553,-10.8848,-0.062428,0.135032,0.256592,1.28717,4.02849,-2.64215,8.77778,-0.0753356,-0.0527411,0.0759014,4.02849,-2.64215,8.77778,-0.0753356,-0.0527411,0.0759014
0.048,-2.6566,9.93656,-0.167309,-0.0249256,0.68039,-0.161427,-0.38179,9.89511,-0.464567,0.303081,0.402268,-0.269669,4.77973,-8.27186,1.59183,0.0727185,-0.406489,-0.712208,3.22922,1.79627,10.3983,-0.2572,-0.263799,0.170492,1.05397,-10.9872,-0.0957536,0.127407,0.254024,1.29643,4.17104,-2.63986,8.77757,-0.0820935,-0.0471044,0.0788728,4.17104,-2.63986,8.77757,-0.0820935,-0.0471044,0.0788728
0.049,-2.64149,9.95456,-0.157359,-0.0338183,0.655851,-0.159641,-0.390846,9.87992,-0.467443,0.307772,0.40666,-0.268934,4.69438,-8.35069,1.57057,0.0849846,-0.389868,-0.717688,3.20305,1.82592,10.4002,-0.254685,-0.268972,0.181474,1.05061,-11.0894,-0.124278,0.119979,0.250377,1.3056,4.30294,-2.635,8.77365,-0.0879978,-0.0417183,0.0813329,4.30294,-2.635,8.77365,-0.0879978,-0.0417183,0.0813329
0.05,-2.62925,9.96894,-0.153052,-0.0399958,0.632441,-0.157593,-0.416453,9.89832,-0.48088,0.310233,0.411669,-0.269768,4.59812,-8.44381,1.55766,0.0930489,-0.368965,-0.721912,3.0832,1.84842,10.4471,-0.248146,-0.279182,0.18887,1.03097,-11.1897,-0.114394,0.114138,0.238103,1.31391,4.34975,-2.60951,8.74002,-0.0870736,-0.0383365,0.079702,4.34975,-2.60951,8.74002,-0.0870736,-0.0383365,0.079702
