Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.1,0.0421368,0.0920081,0.0673993,0.0459885,0.101178,0.0505569,0.0277487,0.0254599,0.00584198,0.0778494,0.0413654,0.0618686,0.0685431,0.0731149,0.0447351,0.05724
0.101,0.042442,0.183561,-0.0269,0.0383591,0.115216,0.0493362,0.0625388,0.0132529,-0.283465,0.0403128,0.0587604,0.0472202,0.031922,0.057551,0.0535852,0.0389294
0.102,0.0183331,0.125272,-0.0284259,0.0249313,0.0410587,0.0294998,0.0256125,0.0141684,-0.351214,0.0540457,0.0395343,0.0560703,0.00506653,0.0563303,0.0386316,0.0374036
0.103,0.054649,0.0596594,0.0292523,0.0218796,0.0428897,0.0328568,0.0503317,-0.0105508,-0.22365,0.0390921,0.0505206,-0.0269376,-0.0452875,0.0441232,0.0538904,0.0633435
0.104,0.0454938,0.0498938,0.0249799,0.00540009,0.0306827,0.0276688,0.019509,0.0211874,-0.131182,0.0628958,0.0361774,-0.0470792,-0.0315546,0.0563303,0.0310022,0.0612073
0.105,0.0680768,0.104825,0.0466473,-0.0150467,0.012067,0.042012,0.0649802,0.0141684,-0.163531,0.0119315,0.0544879,-0.0992642,-0.0700067,0.0404611,0.0676233,0.0569348
0.106,0.0717389,0.0688147,0.0274213,-0.0107742,0.00169098,0.0310257,0.0671164,0.0297324,-0.147661,0.00949005,0.0554034,-0.0858365,-0.110595,0.0660959,0.0749475,0.0407605
0.107,0.0430524,0.055387,0.0518353,0.0224899,-0.0117368,0.0237015,0.0671164,0.0358359,-0.121111,0.0311575,0.0492999,-0.058981,-0.141113,0.0554147,0.086239,0.0834851
0.108,0.0686871,0.0270056,0.0631268,0.0612473,0.0196964,0.00752716,0.0839011,0.0251547,-0.0139944,0.0381766,0.0666949,-0.036398,-0.061767,0.0764719,0.0511438,0.0874524
0.109,0.040611,0.00442261,0.0811322,0.204375,0.0200015,0.022786,0.0640646,0.0266806,-0.00544952,0.0351248,0.045943,0.00113861,-0.0754999,0.0502267,0.0429041,0.0734143
0.11,0.0561749,-0.0135828,0.0570233,0.178435,0.0227481,-0.0226852,0.0372092,0.0108115,0.0809152,0.0174246,0.0541827,0.0334872,0.0374152,0.0483957,0.0142175,0.0679211
0.111,0.0369489,0.039823,0.0533612,0.0804733,0.0404483,0.0169876,0.0539938,0.0196616,0.127302,0.0171194,0.0410602,0.119547,0.17688,0.0303903,0.0200159,0.0853162
0.112,0.0720441,0.060575,0.0600751,0.0142502,0.11308,-0.025737,0.0591818,0.022103,0.156294,0.00277618,0.0502155,0.114969,0.279725,0.0529733,0.025509,0.0804333
0.113,0.0604474,0.0724768,0.0725873,0.0667404,0.122235,-0.0043747,0.0683371,0.0382773,-0.016741,0.0134573,0.033736,0.117716,0.206788,0.0682321,0.0172693,0.105153
0.114,0.0726544,0.0743079,0.0646527,0.0496506,0.11247,-0.0193283,0.0546042,0.0205771,-0.13698,0.00643829,0.0618121,0.149454,0.159791,0.057551,0.0197107,0.0981335
0.115,0.0421368,0.0541663,0.0655682,0.0762009,0.0712711,-0.0159714,0.0732199,0.0321738,-0.222735,0.0265799,0.0520465,0.158304,0.0950934,0.0377145,0.0218469,0.106373
0.116,0.0442731,0.0465369,0.0588544,0.0478195,0.0691348,-0.0290939,0.043923,-0.00994049,-0.123858,-0.0140085,0.061507,0.112833,0.0773932,0.0502267,0.0401575,0.0917249
0.117,0.0125348,0.027616,0.0661786,0.0697922,0.0526553,-0.0406906,0.0414816,0.0251547,0.105329,-0.0191965,0.0468585,0.102762,0.0480963,0.0465646,0.0328333,0.114308
0.118,0.0479352,0.0465369,0.0387128,0.0734543,0.0581485,-0.0248215,0.0341574,-0.0233682,0.275007,-0.0103464,0.0410602,0.103372,0.0538947,0.0215402,0.0352747,0.103932
0.119,0.0503766,0.0126624,0.0829633,0.052092,0.0483829,-0.036113,0.0552145,0.0428549,0.292707,0.00704865,0.0505206,0.144266,0.0450446,0.0169626,-0.00744995,0.117665
0.12,0.0760114,0.0855994,0.0762494,0.0569748,0.0428897,0.00752716,0.04728,0.0306479,0.311933,0.0241385,0.040755,0.122904,0.0349738,0.0532785,0.0395471,0.132313
0.121,0.0485455,0.0639319,0.0731976,0.0426315,0.0462466,-0.0251266,0.0829855,0.039498,0.0925119,0.007659,0.0413654,0.10856,0.016358,0.0364938,0.0303918,0.117054
0.122,0.0494611,0.0498938,0.0475629,0.0398849,0.0315982,-0.0150558,0.0372092,0.0407187,-0.211138,0.0116263,0.0322101,0.0676669,0.0432135,0.0206247,0.0639612,0.107289
0.123,0.0522076,0.0163245,0.0570233,0.0163864,0.0251895,-0.0416061,0.049111,0.0422446,-0.165362,-0.0011911,0.0419757,0.0542392,0.0358893,-0.00867218,0.0471765,0.140858
0.124,0.0497662,0.039823,0.0558026,0.0395798,0.026105,-0.0284836,0.0225607,0.0416342,-0.0527518,0.052825,0.0435016,0.00968353,-0.0172113,-0.00928253,0.063656,0.117665
0.125,0.0427472,0.00716919,0.0652631,0.0359177,0.0267154,-0.0287888,0.0344626,0.0379721,0.112348,0.0378714,0.0648639,0.0307407,0.00506653,-0.0266776,0.0551111,0.124989
0.126,0.0451886,0.0456213,0.0774701,0.053923,0.0499088,-0.00406952,0.0396506,0.041329,0.252424,0.0519095,0.0395343,0.0368442,0.0191046,-0.00562042,0.0590784,0.139943
0.127,0.0567853,0.0324988,0.0799115,0.0478195,0.0245792,-0.0165817,0.0585715,0.0562827,0.329328,0.0387869,0.0712726,0.0579013,0.066712,-0.0141653,0.061825,0.130787
0.128,0.0366437,0.0239539,0.0472577,0.046904,0.0267154,-0.00040741,0.0298849,0.0468222,0.270429,0.045806,0.0349567,0.0533237,0.0444342,-0.0105032,0.0560266,0.149708
0.129,0.0442731,0.0440955,0.0487836,0.0240158,0.0175601,-0.0303146,0.0530783,0.0205771,0.174909,0.00491241,0.0465533,0.0658359,0.03711,-0.0202689,0.0798303,0.128346
0.13,0.0338971,0.0416541,0.0625165,0.00509491,-0.00502289,-0.0242111,0.0500266,0.0431601,0.139814,0.0162039,0.00871155,0.0475253,-0.0150751,-0.00501007,0.0450403,0.129872
0.131,0.0418317,0.0566077,0.0744183,-0.00833282,-0.0175351,-0.0751755,0.0536887,0.0547568,-0.0545828,2.96E-05,0.0151202,0.0423373,0.0224615,0.0169626,0.0703699,0.1433
0.132,0.0457989,0.0437903,0.0585492,0.00326385,-0.0099057,-0.015361,0.0704733,0.0486533,-0.0674002,0.0262747,0.0435016,0.0560703,0.0438239,0.0480905,0.070675,0.145131
0.133,0.0390851,0.0508093,0.0847943,0.0334763,-0.0431699,-0.0162765,0.0741354,0.0755087,0.0467355,0.0375662,0.0666949,0.0664462,0.0844122,0.101191,0.0822717,0.174122
0.134,0.0503766,0.0260901,0.0646527,0.0249313,-0.0480527,-0.00376434,0.064675,0.0571982,0.0931223,0.0879202,0.0602863,0.0408115,0.0343634,0.130793,0.0892908,0.139943
0.135,0.0311505,0.0370764,0.0451215,0.0337814,-0.0739926,-0.0351974,0.0610129,0.0373618,0.106245,0.0824271,0.0554034,0.0279941,0.0358893,0.117671,0.07922,0.136281
