Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.04,8.63791,-2.6419,3.76524,0.518296,-0.469485,-0.0605664,4.27221,3.30935,8.10091,0.0444418,-0.0131433,-0.0067283,0.405004,-7.10703,5.3328,-1.0508,0.794069,0.181736,0.561435,-9.63431,-2.57711,0.070725,-0.186815,0.119515,-0.243006,-9.12858,-1.50993,-0.0238375,-0.766818,0.558607,-4.48851,8.02914,0.881976,0.506973,-0.731534,0.107348,-0.282684,6.01201,-6.15167,0.194233,-0.807669,0.0116359
0.041,8.65462,-2.61832,3.75673,0.519421,-0.472214,-0.06106,4.30088,3.30673,8.10878,0.0441094,-0.0140265,-0.00657019,1.26921,-7.46289,5.36516,-1.15356,0.841727,0.181933,0.546767,-9.63729,-2.59565,0.0746737,-0.190065,0.123972,-0.218053,-9.13973,-1.53769,-0.0279478,-0.779313,0.564252,-4.61152,8.09636,0.705944,0.554898,-0.756925,0.102479,-0.487131,6.0157,-6.18929,0.250268,-0.823453,0.0158238
0.042,8.67133,-2.59475,3.74822,0.520546,-0.474942,-0.0615535,4.32954,3.30411,8.11664,0.043777,-0.0149096,-0.00641207,2.13342,-7.81875,5.39753,-1.25632,0.889386,0.182131,0.532098,-9.64027,-2.6142,0.0786224,-0.193316,0.128428,-0.193101,-9.15088,-1.56544,-0.032058,-0.791809,0.569897,-4.73452,8.16358,0.529911,0.602822,-0.782317,0.0976101,-0.691577,6.01938,-6.22691,0.306302,-0.839238,0.0200117
0.043,8.68804,-2.57118,3.73971,0.521671,-0.47767,-0.0620471,4.3582,3.30149,8.12451,0.0434446,-0.0157927,-0.00625396,2.99763,-8.17461,5.42989,-1.35908,0.937044,0.182328,0.51743,-9.64324,-2.63274,0.0825711,-0.196566,0.132885,-0.168148,-9.16203,-1.5932,-0.0361682,-0.804304,0.575542,-4.85753,8.23081,0.353879,0.650746,-0.807708,0.0927414,-0.896024,6.02307,-6.26452,0.362337,-0.855022,0.0241996
0.044,8.70474,-2.54761,3.7312,0.522796,-0.480399,-0.0625407,4.38686,3.29886,8.13238,0.0431122,-0.0166758,-0.00609584,3.86184,-8.53048,5.46225,-1.46184,0.984703,0.182525,0.502762,-9.64622,-2.65129,0.0865199,-0.199817,0.137341,-0.143196,-9.17317,-1.62095,-0.0402785,-0.8168,0.581187,-4.98054,8.29803,0.177846,0.69867,-0.8331,0.0878727,-1.10047,6.02675,-6.30214,0.418371,-0.870806,0.0283875
0.045,8.70069,-2.54991,3.75429,0.521022,-0.486486,-0.0615084,4.39957,3.30626,8.13615,0.0439617,-0.0164213,-0.00611994,4.67416,-8.60276,5.633,-1.4504,1.03968,0.161323,0.481044,-9.64858,-2.65784,0.0912729,-0.20268,0.141563,-0.110864,-9.18684,-1.65134,-0.0440877,-0.82907,0.587299,-5.05566,8.35817,0.0215708,0.74284,-0.847943,0.0808967,-1.19978,6.09896,-6.30611,0.462538,-0.88728,0.0323756
0.046,8.68002,-2.57291,3.80268,0.516929,-0.49526,-0.0592554,4.39951,3.32166,8.13664,0.0457569,-0.0152567,-0.00628982,5.44498,-8.44819,5.91446,-1.34759,1.10052,0.123001,0.453686,-9.65045,-2.65481,0.0966693,-0.205235,0.145595,-0.0726302,-9.20251,-1.68384,-0.0476561,-0.841159,0.593786,-5.09248,8.41264,-0.118899,0.784007,-0.854348,0.072235,-1.21498,6.22599,-6.28316,0.497209,-0.904306,0.0362038
0.047,8.65936,-2.59591,3.85106,0.512836,-0.504035,-0.0570024,4.39945,3.33707,8.13713,0.047552,-0.014092,-0.00645969,6.21579,-8.29361,6.19592,-1.24478,1.16135,0.08468,0.426328,-9.65232,-2.65177,0.102066,-0.207789,0.149628,-0.034396,-9.21818,-1.71634,-0.0512245,-0.853248,0.600272,-5.1293,8.46712,-0.259369,0.825174,-0.860753,0.0635732,-1.23018,6.35301,-6.26021,0.531881,-0.921332,0.040032
0.048,8.63869,-2.6189,3.89945,0.508743,-0.512809,-0.0547494,4.3994,3.35248,8.13762,0.0493471,-0.0129274,-0.00662956,6.98661,-8.13904,6.47738,-1.14197,1.22218,0.0463584,0.39897,-9.65418,-2.64873,0.107462,-0.210344,0.153661,0.00383814,-9.23385,-1.74884,-0.0547929,-0.865337,0.606759,-5.16612,8.52159,-0.399839,0.866341,-0.867157,0.0549114,-1.24539,6.48004,-6.23727,0.566552,-0.938357,0.0438601
0.049,8.62137,-2.63769,3.95403,0.504464,-0.522254,-0.0524817,4.39669,3.36614,8.13666,0.0509716,-0.0118264,-0.00650109,7.70512,-7.97995,6.75343,-1.02745,1.27805,0.00777128,0.374154,-9.65778,-2.64409,0.112913,-0.213248,0.157653,0.0413166,-9.24799,-1.78125,-0.0582626,-0.877401,0.613094,-5.19674,8.57522,-0.538654,0.906887,-0.87212,0.0453036,-1.25495,6.61324,-6.21486,0.598963,-0.954534,0.0469759
