Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.112,0.0589215,0.0202917,0.0521405,0.0502609,0.0309879,0.110982,0.0347678,0.0434653,0.136457,0.0342093,0.0541827,0.046915,0.0300909,0.0340524,0.05328,0.0706677
0.113,0.0613629,0.0434851,0.0527509,0.0560593,0.0114566,0.119221,0.0442282,0.0459067,0.0937326,0.0448904,0.0486896,0.0429477,0.0364996,0.0444284,0.0279504,0.0865369
0.114,0.0735699,0.0401282,0.0683148,0.0505661,0.0163394,0.109761,0.0573508,0.0529257,-0.0106375,0.0390921,0.0245807,0.0554599,0.00994934,0.0438181,0.01849,0.0789075
0.115,0.0369489,0.0096106,0.0417645,0.0438522,0.0206119,0.109151,0.0237814,0.0495688,-0.0908987,0.0427542,0.0312946,0.0429477,-0.00225769,0.0438181,0.0429041,0.0541882
0.116,0.0137555,0.0361609,0.0600751,0.0505661,0.0331241,0.0945023,0.0402609,0.0730673,-0.00636505,0.0574026,0.0557086,0.0603427,0.0258185,0.054194,0.0679285,0.0874524
0.117,0.0451886,0.0300574,0.0823529,0.0563644,0.036481,0.106404,0.0179831,0.0526205,0.0339182,0.0442801,0.0496051,0.0597324,0.0337531,0.0544992,0.0541956,0.0776868
0.118,0.0311505,0.032804,0.0533612,0.0453781,0.00413239,0.0603226,-0.00185333,0.0480429,0.0171335,0.025054,0.0157306,0.0359287,0.0334479,0.036799,0.023678,0.0651746
0.119,0.0186383,0.0184607,0.0448163,0.0465988,0.0142032,0.07314,0.00089325,0.0440756,0.0299509,0.0497733,0.0468585,0.0377597,0.0456549,0.0624338,0.0526697,0.0877576
0.12,0.065025,0.0550818,0.0283368,0.0594162,0.0157291,0.0780228,0.00852264,0.0443808,0.0381906,0.0473318,0.0749347,0.0627841,0.0630499,0.0374094,0.0538904,0.0822644
0.121,0.0448834,0.0395178,0.0301678,0.0380539,0.00474274,0.0545242,0.0350729,0.0315634,0.0412424,0.0445853,0.0505206,0.0429477,0.0764777,0.0374094,0.0395471,0.0547986
