Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.04,8.14345,-0.654855,4.97036,-0.476176,0.320145,-0.0279311,4.39912,2.70917,8.46493,-0.060359,-0.0847477,-0.0640605,-1.39803,-3.92357,3.77266,0.390821,-0.104663,0.35073,-0.326129,-9.91685,-1.40307,-0.330243,0.141066,-0.353279,-0.732271,-10.0725,-1.39496,0.2455,-0.321153,0.40354,2.81047,9.54017,-1.44827,-0.0762265,-0.208878,-0.118441,7.19478,8.7277,-2.86708,-0.413467,-1.10475,-0.112735
0.041,8.10547,-0.677258,4.95331,-0.476611,0.320496,-0.0363879,4.43461,2.7402,8.44562,-0.0601774,-0.0865591,-0.0682514,-1.68936,-3.57442,3.89212,0.371238,-0.186601,0.364932,-0.277987,-9.88455,-1.38013,-0.332067,0.139691,-0.356546,-0.758126,-10.0104,-1.37761,0.261033,-0.317341,0.409463,3.10547,9.4964,-1.4657,-0.105013,-0.233133,-0.119716,7.48949,8.71386,-2.90661,-0.4096,-1.04896,-0.134838
0.042,8.0675,-0.699661,4.93626,-0.477047,0.320846,-0.0448447,4.47011,2.77123,8.42632,-0.0599957,-0.0883704,-0.0724424,-1.9807,-3.22527,4.01157,0.351655,-0.268538,0.379133,-0.229846,-9.85226,-1.35718,-0.333892,0.138317,-0.359813,-0.783982,-9.94837,-1.36026,0.276566,-0.31353,0.415387,3.40047,9.45261,-1.48313,-0.133799,-0.257388,-0.12099,7.7842,8.70003,-2.94613,-0.405733,-0.99316,-0.156941
0.043,8.02952,-0.722064,4.9192,-0.477482,0.321197,-0.0533016,4.5056,2.80226,8.40701,-0.059814,-0.0901817,-0.0766333,-2.27203,-2.87612,4.13103,0.332072,-0.350475,0.393335,-0.181705,-9.81996,-1.33424,-0.335716,0.136942,-0.36308,-0.809837,-9.88632,-1.3429,0.292099,-0.309718,0.42131,3.69547,9.40884,-1.50056,-0.162584,-0.281643,-0.122265,8.07891,8.6862,-2.98565,-0.401867,-0.937364,-0.179044
0.044,7.99155,-0.744467,4.90215,-0.477918,0.321548,-0.0617584,4.5411,2.83328,8.3877,-0.0596323,-0.0919931,-0.0808243,-2.56336,-2.52697,4.25049,0.312489,-0.432412,0.407536,-0.133563,-9.78766,-1.3113,-0.337541,0.135568,-0.366347,-0.835693,-9.82427,-1.32555,0.307632,-0.305906,0.427233,3.99047,9.36506,-1.51799,-0.191371,-0.305898,-0.12354,8.37361,8.67236,-3.02517,-0.398,-0.881568,-0.201147
0.045,7.94989,-0.765535,4.88021,-0.478374,0.320935,-0.0673663,4.53437,2.84269,8.39087,-0.0577005,-0.0941767,-0.0857295,-2.81898,-2.31325,4.34691,0.303268,-0.522787,0.417618,-0.0509931,-9.74079,-1.30122,-0.339965,0.133621,-0.36855,-0.868789,-9.78198,-1.31488,0.322964,-0.300234,0.432865,4.25866,9.3028,-1.51175,-0.214282,-0.355732,-0.121832,8.55279,8.63155,-3.1047,-0.392173,-0.821263,-0.220452
0.046,7.90529,-0.785533,4.85436,-0.478846,0.319551,-0.070695,4.49385,2.83481,8.41202,-0.0543684,-0.096658,-0.0912062,-3.04603,-2.20788,4.42491,0.302338,-0.619912,0.424403,0.0591205,-9.68225,-1.30144,-0.342869,0.131216,-0.369904,-0.907677,-9.7555,-1.30954,0.338137,-0.293074,0.438265,4.50539,9.22578,-1.48657,-0.232494,-0.42603,-0.117739,8.63954,8.56915,-3.21623,-0.384778,-0.757349,-0.237519
0.047,7.86069,-0.805532,4.82852,-0.479318,0.318168,-0.0740237,4.45333,2.82692,8.43317,-0.0510364,-0.0991394,-0.0966829,-3.27308,-2.1025,4.50291,0.301407,-0.717037,0.431189,0.169234,-9.6237,-1.30166,-0.345772,0.128811,-0.371258,-0.946565,-9.72903,-1.30421,0.353309,-0.285913,0.443665,4.75213,9.14875,-1.46139,-0.250706,-0.496327,-0.113646,8.72629,8.50675,-3.32776,-0.377383,-0.693435,-0.254585
0.048,7.81609,-0.825531,4.80267,-0.47979,0.316784,-0.0773525,4.41281,2.81904,8.45432,-0.0477044,-0.101621,-0.10216,-3.50013,-1.99712,4.58091,0.300477,-0.814162,0.437975,0.279348,-9.56516,-1.30187,-0.348676,0.126407,-0.372612,-0.985453,-9.70255,-1.29887,0.368481,-0.278752,0.449065,4.99887,9.07172,-1.43621,-0.268917,-0.566625,-0.109553,8.81305,8.44436,-3.4393,-0.369988,-0.629521,-0.271652
0.049,7.77574,-0.842019,4.77909,-0.480316,0.315676,-0.081154,4.3722,2.81189,8.47172,-0.0444298,-0.104162,-0.107196,-3.71244,-1.91122,4.66619,0.298438,-0.913756,0.443785,0.381881,-9.51053,-1.31108,-0.351434,0.125019,-0.373815,-1.02344,-9.67273,-1.29543,0.382967,-0.271104,0.454325,5.22863,8.99708,-1.41208,-0.286993,-0.637689,-0.105344,8.88667,8.37454,-3.54967,-0.361794,-0.564437,-0.289257
