Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.04,2.71153,12.1098,-1.63101,0.196146,-0.637064,-0.330155,0.483696,-9.84999,-1.38096,0.209177,-0.256817,0.420783,4.78226,1.87617,8.72601,-0.210245,0.170781,0.00325412,7.00926,-2.08621,8.86773,0.192126,0.393464,-0.0616816,8.67692,-1.02471,6.03434,-0.0454785,-0.305829,-0.210193,3.3815,10.6705,-2.02572,0.204859,0.0226045,-0.376304,4.15247,-8.67081,-1.78167,0.126702,-0.50193,0.305521
0.041,2.96145,12.1996,-1.70684,0.202986,-0.60039,-0.338087,0.513817,-9.85934,-1.42097,0.208975,-0.25102,0.426662,4.79093,1.87989,8.72746,-0.208543,0.166909,0.00284439,6.9013,-1.82093,8.89552,0.197434,0.390463,-0.0652089,8.71121,-0.992839,6.00734,-0.0578894,-0.292148,-0.198436,3.34776,10.9472,-1.84281,0.202282,0.0318316,-0.389514,4.23111,-8.64394,-1.80663,0.126344,-0.499416,0.303462
0.042,3.21137,12.2893,-1.78267,0.209826,-0.563716,-0.346019,0.543938,-9.8687,-1.46099,0.208772,-0.245222,0.432541,4.7996,1.88362,8.72892,-0.20684,0.163037,0.00243466,6.79334,-1.55565,8.92331,0.202741,0.387461,-0.0687362,8.74551,-0.960967,5.98035,-0.0703004,-0.278467,-0.186679,3.31402,11.224,-1.65989,0.199704,0.0410587,-0.402724,4.30975,-8.61707,-1.83158,0.125986,-0.496902,0.301403
0.043,3.46129,12.3791,-1.8585,0.216666,-0.527042,-0.353951,0.574059,-9.87805,-1.50101,0.20857,-0.239424,0.43842,4.80827,1.88734,8.73038,-0.205138,0.159164,0.00202492,6.68538,-1.29037,8.9511,0.208048,0.38446,-0.0722635,8.77981,-0.929095,5.95335,-0.0827113,-0.264786,-0.174922,3.28028,11.5007,-1.47698,0.197127,0.0502858,-0.415935,4.38839,-8.5902,-1.85654,0.125628,-0.494388,0.299343
0.044,3.71121,12.4689,-1.93433,0.223506,-0.490368,-0.361883,0.604181,-9.88741,-1.54102,0.208368,-0.233626,0.444299,4.81694,1.89107,8.73183,-0.203435,0.155292,0.00161519,6.57742,-1.02509,8.97889,0.213355,0.381458,-0.0757908,8.81411,-0.897223,5.92635,-0.0951222,-0.251105,-0.163165,3.24654,11.7774,-1.29407,0.19455,0.059513,-0.429145,4.46703,-8.56333,-1.8815,0.125271,-0.491874,0.297284
0.045,3.96042,12.5325,-2.01591,0.228023,-0.448488,-0.36884,0.607925,-9.90295,-1.56627,0.210336,-0.227736,0.450899,4.81696,1.90266,8.73104,-0.201593,0.150971,0.00316192,6.42244,-0.800995,8.9928,0.218333,0.376511,-0.0765984,8.83776,-0.876779,5.89099,-0.106863,-0.235309,-0.153645,3.21049,11.978,-1.12924,0.192907,0.0689769,-0.437531,4.53503,-8.55319,-1.88618,0.124835,-0.490463,0.295089
0.046,4.20905,12.5751,-2.10209,0.230682,-0.402444,-0.375018,0.590567,-9.92345,-1.57969,0.214041,-0.221772,0.458075,4.81005,1.92054,8.72844,-0.199637,0.146291,0.00627383,6.22983,-0.609842,8.9956,0.223048,0.370006,-0.0752304,8.85291,-0.865479,5.84893,-0.118069,-0.21782,-0.145913,3.1726,12.1177,-0.978882,0.192013,0.0786302,-0.442058,4.5945,-8.55643,-1.87465,0.124338,-0.489935,0.292786
0.047,4.45769,12.6178,-2.18828,0.233341,-0.356399,-0.381195,0.573209,-9.94394,-1.59312,0.217746,-0.215808,0.465251,4.80314,1.93842,8.72584,-0.197682,0.141611,0.00938574,6.03723,-0.418689,8.99841,0.227763,0.363502,-0.0738623,8.86806,-0.854179,5.80686,-0.129274,-0.200332,-0.138181,3.1347,12.2574,-0.828522,0.191118,0.0882836,-0.446584,4.65398,-8.55968,-1.86311,0.123841,-0.489406,0.290483
0.048,4.70633,12.6604,-2.27446,0.235999,-0.310355,-0.387373,0.555851,-9.96443,-1.60655,0.22145,-0.209844,0.472427,4.79623,1.9563,8.72324,-0.195727,0.136931,0.0124977,5.84463,-0.227536,9.00121,0.232478,0.356997,-0.0724943,8.8832,-0.842878,5.7648,-0.140479,-0.182843,-0.130449,3.09681,12.3971,-0.678161,0.190224,0.0979369,-0.451111,4.71346,-8.56292,-1.85158,0.123344,-0.488878,0.288179
0.049,4.94988,12.691,-2.35454,0.237938,-0.263446,-0.393149,0.542312,-9.98366,-1.62291,0.225375,-0.203764,0.47968,4.78895,1.97688,8.7191,-0.193849,0.13262,0.0158418,5.65797,-0.0531864,9.00027,0.236684,0.350325,-0.0709915,8.8932,-0.832734,5.71808,-0.151269,-0.166249,-0.122875,3.05472,12.5202,-0.539316,0.190102,0.107284,-0.45454,4.77004,-8.56752,-1.84029,0.12285,-0.488301,0.28582
