Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.098,0.032066,0.0431799,0.0518353,0.0465988,0.0453311,0.0752762,0.0393454,0.0513998,0.125166,0.0589285,0.0499103,0.0347079,0.0334479,0.0343576,0.0545007,0.0551038
0.099,0.0338971,0.0511145,0.0673993,0.0514816,0.046857,0.0435379,0.0216452,0.0449912,0.111128,0.0625906,0.0572345,0.0441684,0.0276495,0.0459543,0.0453455,0.0569348
0.1,0.0390851,0.050199,0.0423749,0.0557541,0.0474673,0.0273636,0.0390402,0.0800864,0.114485,0.0494681,0.0596759,0.0450839,0.0383307,0.0291696,0.0538904,0.0587659
0.101,0.0485455,0.0489783,0.0539716,0.0545334,0.0496036,0.0468948,0.0314108,0.044686,0.0949533,0.0455008,0.0648639,0.046915,0.0618292,0.0377145,0.0465662,0.0697522
0.102,0.0479352,0.0343298,0.0570233,0.0508713,0.052045,0.0615433,0.0262228,0.0507895,0.0818307,0.0430594,0.0654742,0.046915,0.0416876,0.0548044,0.0505334,0.0523572
0.103,0.0586163,0.0587439,0.0493939,0.0508713,0.0462466,0.0328568,0.0292746,0.0474326,0.0726755,0.0433646,0.0782916,0.052103,0.0380255,0.0532785,0.0483972,0.0496106
0.104,0.0381696,0.0465369,0.053056,0.0527023,0.0593692,0.0444534,0.0149313,0.0556723,0.0781686,0.0369559,0.0651691,0.0447787,0.0633551,0.0386301,0.0465662,0.0752454
0.105,0.0570905,0.0657629,0.0640424,0.0585007,0.0450259,0.0774124,0.00455536,0.0593344,0.085798,0.0451956,0.0749347,0.0502719,0.0395514,0.0410715,0.0590784,0.0605969
0.106,0.0439679,0.0660681,0.0716718,0.048735,0.0413638,0.0371292,0.0127951,0.0617758,0.0708444,0.0601492,0.0624225,0.0627841,0.0740363,0.0273386,0.0572473,0.0685315
0.107,0.0488507,0.0407385,0.0646527,0.0597214,0.0483829,0.00569611,0.026528,0.062081,0.0647409,0.0491629,0.0599811,0.0502719,0.0459601,0.041987,0.0606042,0.0700574
0.108,0.0525128,0.0559973,0.0472577,0.0441574,0.0483829,-0.0269577,0.0445334,0.0605551,0.0671823,0.0567923,0.0651691,0.0450839,0.0419928,0.034968,0.0541956,0.0502209
0.109,0.0796735,0.0660681,0.0533612,0.0581955,0.0447208,0.00539093,0.0427023,0.0608603,0.0717599,0.0497733,0.0572345,0.0359287,0.0465704,0.0474802,0.0630457,0.0517468
0.11,0.0738751,0.0575232,0.0451215,0.0462936,0.0456363,0.0359085,0.064675,0.0462119,0.0687082,0.0387869,0.0590656,0.0282993,0.0465704,0.0651804,0.0615198,0.0313
0.111,0.04763,0.0559973,0.0597699,0.0465988,0.0389224,0.105489,0.0478903,0.0565878,0.0500925,0.0534354,0.0605914,0.0524081,0.0535895,0.0340524,0.0569421,0.0370984
0.112,0.0161969,0.0498938,0.0579388,0.0517868,0.0492984,0.174763,0.0805441,0.0636069,0.0601633,0.0488577,0.0523517,0.0459995,0.0490118,0.0429025,0.0523645,0.0251965
0.113,0.0470197,0.0489783,0.0521405,0.053923,0.03465,0.153706,0.0793234,0.0370566,0.0604684,0.0378714,0.0569293,0.053934,0.0535895,0.0352731,0.0499231,0.0248914
0.114,0.0415265,0.0498938,0.0551923,0.0389694,0.0392276,0.143025,0.110451,0.0678793,0.0552805,0.040618,0.0535724,0.0389804,0.0569464,0.0322214,0.0599939,0.0313
0.115,0.0412213,0.0315833,0.0591595,0.0554489,0.0480777,0.0838211,0.0756613,0.0523154,0.0540598,0.0345145,0.0596759,0.0331821,0.0328375,0.054194,0.0563318,0.0322156
0.116,0.0497662,0.0321936,0.0695355,0.0447678,0.0392276,0.0761917,0.0704733,0.0520102,0.0424631,0.0421439,0.0566241,0.0337924,0.0636603,0.034968,0.0639612,0.0203137
0.117,0.0284039,0.0428748,0.073808,0.0368332,0.0450259,0.0618485,0.0622336,0.0520102,0.0229318,0.0415335,0.0624225,0.0438632,0.0480963,0.0422922,0.0355798,0.0453381
0.118,0.0369489,0.0584387,0.0689252,0.0511765,0.0392276,0.092366,0.066506,0.0547568,0.0427683,0.0595389,0.0666949,0.026163,0.0456549,0.0554147,0.0364954,0.0453381
0.119,0.0393903,0.0608801,0.0741132,0.0420212,0.0444156,0.121053,0.0805441,0.0349203,0.0507028,0.0522147,0.0431964,0.0286044,0.052674,0.0548044,0.0569421,0.0502209
0.12,0.037254,0.0578284,0.047868,0.0404953,0.0499088,0.0850418,0.0640646,0.0504843,0.0644357,0.0729666,0.075545,0.0542392,0.0285651,0.0438181,0.0493127,0.0541882
0.121,0.0485455,0.0483679,0.0490887,0.0496506,0.0492984,0.07314,0.0588766,0.0617758,0.0531442,0.0256644,0.0538776,0.0777377,0.0407721,0.0187936,0.0450403,0.0428967
0.122,0.0634991,0.0535559,0.0518353,0.0569748,0.026105,0.040181,0.0451437,0.056893,0.0534494,0.0305472,0.0386188,0.0432529,0.0456549,0.0468698,0.0438196,0.05724
0.123,0.0705182,0.0642371,0.0561078,0.0462936,0.0486881,0.0356033,0.0579611,0.0468222,0.061384,0.0421439,0.0676105,0.0524081,0.0212408,0.031611,0.0389368,0.0410657
0.124,0.0573956,0.0764441,0.0548871,0.0597214,0.0514346,0.0261429,0.0335471,0.0443808,0.0476511,0.0546561,0.0505206,0.0517978,0.0496222,0.0520578,0.0602991,0.0459485
0.125,0.0570905,0.0688147,0.0527509,0.0502609,0.0404483,0.0447586,0.0286642,0.0535361,0.083967,0.0570975,0.0465533,0.0533237,0.0456549,0.0361887,0.0487024,0.0502209
0.126,0.0506818,0.0749182,0.0567181,0.0658249,0.0502139,0.0423172,0.0671164,0.0553671,0.0519235,0.0625906,0.0596759,0.0432529,0.0517584,0.0792184,0.0606042,0.036488
0.127,0.0677716,0.0617957,0.0548871,0.0557541,0.0343448,0.0664261,0.0402609,0.0419394,0.0464304,0.0400076,0.0608966,0.0640048,0.0496222,0.0483957,0.0728113,0.0511365
0.128,0.0573956,0.0474524,0.0567181,0.053923,0.0523502,0.0670364,0.0546042,0.0373618,0.0543649,0.0455008,0.0395343,0.0768222,0.0426032,0.0606027,0.0581628,0.0496106
0.129,0.059837,0.0645422,0.0445111,0.0575851,0.0453311,0.0694778,0.016152,0.0452963,0.0696237,0.0467215,0.0636432,0.0829257,0.0563361,0.0660959,0.05328,0.0621228
0.13,0.0592267,0.0636267,0.0405438,0.0600265,0.0605899,0.0609329,0.0253073,0.0340048,0.0601633,0.0467215,0.0462482,0.0402011,0.038941,0.0371042,0.0596887,0.0404553
0.131,0.0586163,0.05203,0.0283368,0.0581955,0.0395328,0.0554398,0.0250021,0.0312582,0.0452097,0.0497733,0.0425861,0.0350131,0.0429083,0.0358835,0.0447351,0.0627332
0.132,0.052818,0.0794958,0.0359662,0.0655197,0.0462466,0.0673416,0.0503317,0.0358359,0.058027,0.0448904,0.0642535,0.0579013,0.0398566,0.0551096,0.0438196,0.0587659
0.133,0.0555646,0.0379919,0.0451215,0.0545334,0.0596744,0.0682571,0.0375143,0.0196616,0.0424631,0.0433646,0.134444,0.059122,0.0612189,0.0401559,0.0572473,0.0544934
0.134,0.0634991,0.0407385,0.0451215,0.0438522,0.0438052,0.0502518,0.0561301,0.0288168,0.0470407,0.0494681,0.103011,0.0960483,0.0407721,0.0572458,0.0538904,0.0615125
0.135,0.0488507,0.0489783,0.0542767,0.0588058,0.041669,0.0587967,0.038735,0.0520102,0.0452097,0.0534354,0.0523517,0.100626,0.0627448,0.041987,0.0551111,0.0596814
0.136,0.0488507,0.0453162,0.0579388,0.0508713,0.0410587,0.0566605,0.0463644,0.0474326,0.040632,0.0451956,0.00108215,0.115885,0.0670172,0.0435129,0.0575525,0.064259
0.137,0.0519025,0.0559973,0.0509198,0.0594162,0.0450259,0.0496414,0.0643698,0.0410239,0.0384958,0.0757132,-0.025163,0.108866,0.0581671,0.047175,0.0554163,0.0569348
0.138,0.0488507,0.0453162,0.0515302,0.0411057,0.0422794,0.0661209,0.0573508,0.055062,0.0503976,0.0635062,0.0377032,0.0508823,0.054505,0.0444284,0.0569421,0.0596814
0.139,0.0277936,0.0447058,0.0741132,0.046904,0.0419742,0.0356033,0.0262228,0.0715414,0.0677927,0.0723563,0.111556,0.0170078,0.0676276,0.0374094,0.0569421,0.0691418
0.14,0.0369489,0.0706457,0.0854047,0.0456833,0.059064,0.0359085,0.0286642,0.0544516,0.0690134,0.0482474,0.102095,0.026163,0.0426032,0.0493112,0.0596887,0.05724
0.141,0.0461041,0.0477576,0.0933392,0.05728,0.026105,0.0182083,0.0121848,0.044686,0.0815256,0.050994,0.114913,0.0371494,0.0654913,0.0407663,-0.00256714,0.0569348
0.142,0.0369489,0.0474524,0.0612958,0.0716232,0.0523502,0.0185135,0.0124899,0.0443808,0.0702341,0.045806,0.0343463,0.0148715,0.0459601,0.0392404,0.0563318,0.0493054
0.143,0.0519025,0.0215125,0.0567181,0.048735,0.0459415,0.0130203,0.0301901,0.0571982,0.0912912,0.0540457,-0.0608685,0.0408115,0.0407721,0.0505319,0.0444299,0.0584607
0.144,0.0409161,0.0352454,0.0631268,0.0554489,0.0654727,0.00508575,0.0237814,0.0471274,0.0760324,0.0464163,-0.0803998,0.069498,0.0447394,0.0505319,0.0450403,0.0755505
0.145,0.0696027,0.0401282,0.056413,0.0557541,0.0438052,0.0136307,0.0207297,0.0370566,0.066572,0.045806,-0.0572064,0.0691928,0.0480963,0.0389352,0.0578577,0.0685315
0.146,0.0601422,0.000455322,0.0451215,0.0517868,0.0529605,0.0578812,0.0509421,0.0428549,0.078779,0.0570975,0.0795123,0.0579013,0.0734259,0.0602975,0.0425989,0.0810437
