Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.086,0.0787579,0.0913977,0.0496991,0.0618576,0.0108463,0.0673416,0.0277487,0.162484,0.0760324,0.153838,0.0322101,0.0380649,0.0627448,0.0584665,0.0899011,0.118885
0.087,0.0705182,0.0401282,0.0588544,0.0578903,0.0166446,0.0581863,0.0448386,0.172555,0.0848825,0.155059,0.0242755,0.0594272,0.0551154,0.0520578,0.0938684,0.128956
0.088,0.0686871,0.0401282,0.0558026,0.0682663,0.0132877,0.0587967,0.0497214,0.154549,0.0888498,0.150481,-0.0468304,0.059122,0.0459601,0.0441232,0.0783044,0.128346
0.089,0.040611,0.0321936,0.0350507,0.0948166,0.00260651,0.0426224,0.0173727,0.144784,0.100446,0.0931082,-0.0504926,0.053934,0.0499274,0.0526682,0.081051,0.118885
0.09,-0.0121844,0.0437903,0.0612958,0.079863,0.00504791,0.0117996,0.0118796,0.149972,0.0677927,0.0635062,-0.0642255,0.0554599,0.0429083,0.052363,0.108822,0.106068
0.091,0.0638043,0.0334143,0.0637372,0.09207,-0.0108212,0.0343826,0.0335471,0.137459,0.0592477,0.0888358,0.0224445,0.0517978,0.0410773,0.0508371,0.0895959,0.0905041
0.092,0.0958478,0.0349402,0.0429852,0.0783371,0.0105411,0.029805,0.0500266,0.16523,0.0931223,0.0503836,0.12834,0.0463046,0.0480963,0.0648752,0.0908166,0.0773816
0.093,0.11721,0.0480627,0.0490887,0.0700973,0.0013858,0.0566605,0.122353,0.128609,0.0552805,0.0223074,0.146346,0.0472202,0.0508429,0.062739,0.084408,0.0886731
0.094,0.0808942,0.0907874,0.0594647,0.0862717,0.0184756,0.062764,0.256936,0.147225,0.0464304,0.0107108,0.147567,0.0597324,0.0514532,0.0468698,0.0999719,0.110035
0.095,0.0586163,0.0587439,0.0548871,0.0725388,0.0117618,0.0621536,0.29966,0.141427,0.0464304,0.0116263,0.0663898,0.0447787,0.0218512,0.0514474,0.110043,0.114308
0.096,0.0412213,0.0447058,0.0271161,0.0484299,0.0245792,0.0676468,0.242592,0.118844,0.0360544,-0.0173654,0.0315997,0.0481357,0.0657965,0.041987,0.0734216,0.116749
0.097,0.0335919,0.0401282,0.0319989,0.0722336,0.0203067,0.074971,0.164773,0.123116,0.0476511,-0.0393381,0.0190875,0.057291,0.0459601,0.0380197,0.0956995,0.107899
0.098,0.0738751,0.0279211,0.0515302,0.0801682,0.0239688,0.0639847,0.059487,0.100228,0.0543649,-0.0378122,0.0392291,0.0298251,0.0529791,0.0569406,0.104855,0.0941663
0.099,0.0894391,0.0456213,0.0506146,0.0780319,0.0129825,0.0670364,-0.0097879,0.0669638,0.0537546,-0.0610056,0.00840637,0.046915,0.0532843,0.0514474,0.0935632,0.0874524
0.1,0.0760114,0.0270056,0.0451215,0.0774216,0.0157291,0.0761917,-0.0604471,0.0559775,0.0595529,-0.0637521,0.0590656,0.0374545,0.0563361,0.0462595,0.096615,0.10851
0.101,0.0555646,0.0462317,0.0451215,0.0700973,0.0233585,0.0685623,-0.0888284,0.0593344,0.0565012,-0.070466,0.061507,0.0478305,0.0776984,0.0578561,0.101193,0.104237
0.102,0.0616681,0.0267004,0.0353558,0.0639938,0.00840485,0.0505569,-0.126365,0.0315634,0.0751169,-0.0976266,0.00901672,0.0286044,0.0517584,0.0432077,0.0953943,0.0795178
0.103,0.0815045,0.0337195,0.0362714,0.0432419,0.0300723,0.0755814,-0.14376,0.0306479,0.0775583,-0.0820627,0.0956866,0.00480072,0.0560309,0.0532785,0.0947839,0.0935559
0.104,0.0677716,0.0367712,0.053056,0.062468,0.0288516,0.0597122,-0.136436,0.0593344,0.0827463,-0.0793161,0.182662,0.043558,0.0471808,0.0389352,0.070675,0.046864
0.105,0.065025,0.0358557,0.0362714,0.0633835,0.0254947,0.0743607,-0.0815042,-0.00963532,0.126997,-0.0802316,0.0328204,0.043558,0.0487067,0.0429025,0.0932581,0.0474744
0.106,0.0540387,0.0303625,0.0381024,0.0423264,0.0282413,0.0514725,-0.0570901,-0.0102457,0.121504,-0.100678,0.0724933,0.0493564,0.054505,0.0386301,0.0950891,0.0331311
0.107,0.0390851,0.0270056,0.0374921,-0.00253448,0.0196964,0.0658157,-0.0146707,-0.0145181,0.140425,-0.0890817,0.0612018,0.0823154,0.0523688,0.0654855,0.106991,0.0212292
0.108,0.0256573,0.0584387,0.0591595,-0.0357986,0.036481,0.0563553,0.00974335,-0.0194009,0.141645,-0.0622263,0.243392,0.0524081,0.0468756,0.0505319,0.0911218,0.0123792
0.109,0.0668561,0.0651526,0.0521405,-0.0483109,0.0212222,0.0273636,0.00455536,-0.0590738,0.083967,-0.0884714,0.226607,0.0551547,0.0453497,0.0529733,0.0877649,0.0316052
0.11,0.0219952,0.0706457,0.0405438,0.00845184,0.0169498,0.0331619,0.00577606,-0.0267252,0.0256784,-0.0872507,-0.0761273,0.0682773,0.0548102,0.059382,0.0749475,0.0663953
0.111,0.0763165,0.0547766,0.0411542,0.0343918,0.0319034,0.0481155,0.0185934,-0.0239786,-0.0420706,-0.0848093,0.0492999,0.0933017,0.0554205,0.0429025,0.0694543,0.0944714
0.112,0.0772321,0.0505042,0.0426801,0.0392746,0.0212222,0.0502518,0.016152,-0.0654825,-0.100359,-0.0927438,0.211348,0.0759067,0.0380255,0.0425973,0.0813562,0.115834
0.113,0.0732648,0.0379919,0.047868,0.0490402,0.00169098,0.0365189,0.0103537,-0.0636514,-0.11043,-0.0890817,-0.0126508,0.0575961,0.0487067,0.0694528,0.0722009,0.148182
0.114,0.0491559,0.0334143,0.0829633,0.090239,0.0181705,0.0615433,0.0301901,-0.0496133,-0.106158,-0.0857248,-0.218034,0.0112094,0.0349738,0.0432077,0.0737268,0.130787
0.115,0.0686871,0.0321936,0.0667889,0.0975632,0.0279361,0.0743607,0.0921408,-0.054191,-0.0301688,-0.08603,-0.317521,0.0279941,0.0505377,0.0499216,0.0804407,0.103627
0.116,0.052818,0.0126624,0.0551923,0.0887131,0.0560123,0.0926712,0.0945822,-0.0648721,0.0351389,-0.0991525,-0.121599,0.00846283,0.0426032,0.0636545,0.0749475,0.0749402
0.117,0.0360333,0.0517249,0.0500043,0.0801682,0.052045,0.0810745,0.0933615,-0.0743326,0.0424631,-0.0750436,0.457015,0.00876801,0.0242926,0.054194,0.0718957,0.0325208
0.118,0.0323712,0.046842,0.0503094,0.0847458,0.0544864,0.0713089,0.0427023,-0.0709756,0.0928171,-0.0970163,0.467086,0.00907318,0.0340582,0.0569406,0.0834924,-0.0083728
0.119,-0.00302917,0.0483679,0.0600751,0.0435471,0.074628,0.0572708,0.0332419,-0.0691446,0.111128,-0.0832834,0.210433,0.0377597,0.0343634,0.0429025,0.0667078,-0.0678821
0.12,0.030235,0.0471472,0.0707562,0.0255417,0.026105,0.0612381,0.00852264,-0.0816568,0.148969,-0.0649728,0.0279376,0.0579013,0.0242926,0.0578561,0.0645715,-0.0837512
0.121,0.0204694,0.0428748,0.0411542,0.062468,0.0471622,0.0496414,-0.0073465,-0.0789102,0.166364,-0.0799265,-0.0816205,0.0579013,0.0310065,0.0615182,0.0657922,-0.0773425
0.122,0.0467145,0.055387,0.0533612,0.0334763,0.0431949,0.0557449,0.0198141,-0.0782999,0.192304,-0.0552072,-0.070329,0.0527133,0.0383307,0.0529733,0.0596887,-0.0739856
0.123,0.0442731,0.0578284,0.0445111,0.0194382,0.0474673,0.0600174,0.0573508,-0.0825723,0.190779,-0.0573434,-0.0923016,0.0316562,0.0575568,0.0609079,0.0371057,-0.0596423
